STE_NAME21,Year12_rate
Western Australia,70.0
Western Australia,65.0
Western Australia,71.0
Western Australia,75.0
Western Australia,82.0
Western Australia,80.0
Western Australia,76.0
Western Australia,75.0
Western Australia,79.0
Western Australia,74.0
Western Australia,76.0
Western Australia,73.0
Western Australia,75.0
Western Australia,73.0
Western Australia,70.0
Western Australia,75.0
Western Australia,75.0
Western Australia,69.0
Western Australia,73.0
Tasmania,48.0
Tasmania,38.0
Tasmania,14.0
Tasmania,59.0
Tasmania,48.0
Tasmania,38.0
Tasmania,45.0
Tasmania,59.0
Tasmania,56.0
Tasmania,37.0
Tasmania,72.0
Tasmania,58.0
Tasmania,55.0
Tasmania,58.0
Tasmania,53.0
